EBITDA,EPS,NI,Q_earnings_gr,Q_rev_gr,ROA,ROE,Rev,_5Y_div_yld,bv_per_sh,cash,cash_per_sh,curr_ratio,debt,debt_to_eq,fcf,fwd_div,fwd_div_yld,gross_profit,insiders,institution,name_tk,op_cf,oper_margin,payout_ratio,profit_margin,rev_sh,sh_float,sh_short,shares_out,short_ratio,short_to_float,short_to_out
541.39M,0.59,118.5M,-97.20%,31.40%,1.74%,4.78%,4.52B,N/A,14.50,3.09B,15.82,1.21,2.14B,75.33,1.79B,N/A,N/A,3.53B,0.52%,91.12%,"ServiceNow, Inc. (NOW)",1.79B,4.54%,0.00%,2.62%,23.41,194.68M,2.34M,195.1M,1.58,1.21%,1.20%
3.43B,22.08,2.03B,63.70%,9.10%,8.72%,52.50%,18.36B,0.91,40.29,226.6M,2.53,1.00,10.11B,280.09,N/A,5.36,0.75%,8.68B,9.52%,80.01%,The Sherwin-Williams Company (SHW),N/A,15.54%,24.28%,11.06%,203.06,80.03M,1.01M,90.82M,2.36,1.23%,1.11%
3.33B,3.59,1.11B,-30.90%,-25.00%,3.73%,37.63%,4.58B,5.46,9.12,1.01B,3.08,0.67,27.24B,744.59,N/A,5.2,4.76%,3.69B,0.47%,84.75%,"Simon Property Group, Inc. (SPG)",N/A,43.07%,167.13%,24.30%,14.83,325.79M,16.64M,328.13M,3.94,6.53%,5.07%
1.55B,6.33,1.07B,98.10%,68.50%,14.53%,24.58%,3.97B,1.45,26.77,1.02B,6.18,5.07,185.7M,4.21,598.2M,2,1.06%,1.64B,0.35%,79.52%,"Skyworks Solutions, Inc. (SWKS)",1.29B,30.77%,29.61%,26.88%,23.73,164.26M,3.17M,164.9M,1.38,2.18%,1.92%
569.76M,4.87,356.1M,204.80%,-26.90%,1.19%,7.09%,1.03B,3.84,66.49,266.06M,3.77,2.39,5.42B,98.63,N/A,3.64,5.63%,638.99M,N/A,N/A,SL Green Realty Corp. (SLG),N/A,22.72%,59.02%,36.96%,14.12,70.13M,10.37M,68.51M,7,22.09%,15.14%
977.2M,11.44,627M,22.50%,12.40%,8.98%,17.76%,3.94B,2.10,70.57,923.2M,17.03,2.65,1.48B,38.60,1.03B,4.92,2.59%,2B,1.44%,97.21%,Snap-on Incorporated (SNA),1.01B,22.33%,39.07%,15.91%,72.60,53.41M,4.43M,54.21M,9.82,9.37%,8.17%
8.87B,2.99,3.17B,-4.90%,-6.30%,2.68%,9.68%,20.17B,4.56,26.78,3.38B,3.2,0.90,51.93B,158.38,-1.42B,2.56,4.18%,9.63B,0.13%,59.83%,The Southern Company (SO),6.12B,25.55%,84.56%,15.73%,19.08,1.05B,8.08M,1.06B,2.07,0.77%,0.77%
-3.99B,-5.44,-3.07B,N/A,-64.90%,-10.42%,-32.86%,9.05B,1.04,15.03,13.33B,22.57,2.02,12.2B,137.51,-3.34B,N/A,N/A,-1.88B,0.25%,76.04%,Southwest Airlines Co. (LUV),-1.13B,-55.74%,N/A,-33.97%,16.01,588.55M,16.7M,590.47M,2.33,3.61%,2.83%
2.39B,7.77,1.21B,134.70%,18.70%,5.14%,12.22%,14.53B,1.82,70.50,1.38B,8.8,1.32,4.25B,38.38,1.37B,2.8,1.60%,5.04B,0.22%,90.37%,"Stanley Black & Decker, Inc. (SWK)",2.02B,12.49%,35.78%,8.49%,94.27,156.54M,2.65M,160.22M,2,1.67%,1.66%
2.87B,0.57,664.8M,-29.80%,-4.90%,2.93%,N/A,23.17B,1.77,-6.72,5.26B,4.47,1.06,24.98B,N/A,-419.84M,1.8,1.70%,5.14B,0.17%,69.50%,Starbucks Corporation (SBUX),1.6B,5.83%,294.74%,2.87%,19.78,1.18B,10.87M,1.18B,1.76,0.92%,0.92%
N/A,6.32,2.26B,-4.80%,-2.80%,0.86%,9.56%,11.61B,2.40,67.19,124.35B,352.11,N/A,21.21B,N/A,N/A,2.08,2.85%,11.62B,0.48%,95.28%,State Street Corporation (STT),N/A,28.55%,32.91%,20.83%,32.92,334.1M,4.94M,353.16M,2.13,1.40%,1.40%
810.86M,5.03,431.86M,9.10%,4.50%,6.29%,11.88%,3.06B,1.18,45.31,252.5M,2.96,2.33,1.86B,48.08,345.53M,1.6,0.88%,1.32B,0.52%,94.21%,STERIS plc (STE),701.02M,19.62%,30.62%,14.13%,35.93,84.93M,1.22M,85.35M,2.46,1.61%,1.43%
3.75B,4.20,1.6B,-21.70%,3.20%,5.70%,12.35%,14.35B,1.14,34.81,3.02B,8.05,1.93,13.23B,101.12,4B,2.52,1.03%,9.16B,7.43%,74.39%,Stryker Corporation (SYK),3.28B,20.49%,56.07%,11.14%,38.22,332.52M,2.3M,375.79M,2,0.69%,0.61%
N/A,22.87,1.19B,49.50%,49.30%,1.39%,17.19%,3.78B,N/A,151.86,17.67B,340.63,N/A,1.12B,N/A,N/A,N/A,N/A,3.78B,0.42%,93.50%,SVB Financial Group (SIVB),N/A,46.85%,0.00%,31.99%,73.08,51.58M,842.13k,51.89M,1.61,1.83%,1.62%
N/A,2.27,1.34B,1.00%,-2.80%,1.38%,9.97%,5.85B,N/A,20.49,11.52B,19.73,N/A,15.77B,N/A,N/A,0.88,2.36%,5.85B,0.37%,101.79%,Synchrony Financial (SYF),N/A,30.71%,38.77%,22.95%,9.94,539.81M,10.78M,584M,1.61,1.85%,1.85%
814.57M,4.27,664.35M,22.90%,20.50%,5.68%,14.74%,3.69B,N/A,32.15,1.24B,8.07,1.19,663.49M,13.51,769.49M,N/A,N/A,2.94B,0.65%,90.88%,"Synopsys, Inc. (SNPS)",991.31M,17.81%,0.00%,18.03%,24.38,152.01M,1.79M,153.03M,2.69,1.33%,1.17%
1.57B,-0.66,-337.53M,-82.40%,-23.10%,2.53%,-16.77%,45.9B,2.39,2.80,5.79B,11.34,1.78,14.51B,991.92,1.72B,1.8,2.36%,9.9B,0.14%,83.63%,Sysco Corporation (SYY),1.8B,1.85%,N/A,-0.74%,90.17,509.51M,7.4M,510.41M,3.03,1.52%,1.45%
23.57B,2.65,2.74B,-0.10%,71.20%,4.10%,5.83%,68.4B,N/A,52.62,10.39B,8.36,1.10,107.25B,164.13,5.09B,N/A,N/A,40.78B,52.72%,41.89%,"T-Mobile US, Inc. (TMUS)",8.64B,13.77%,0.00%,4.48%,59.78,582.33M,12.98M,1.24B,3.46,3.30%,1.04%
2.94B,9.98,2.31B,43.70%,18.00%,17.17%,28.85%,6.21B,2.66,33.98,2.15B,9.49,3.90,N/A,N/A,N/A,4.32,2.65%,3.59B,1.72%,71.99%,"T. Rowe Price Group, Inc. (TROW)",N/A,44.24%,36.07%,38.23%,27.13,224.18M,5.08M,227.55M,4.35,2.26%,2.24%
602.9M,4.27,492.8M,11.40%,-7.40%,6.02%,17.73%,3.29B,N/A,28.81,2.42B,22.1,1.78,187.38M,5.94,660.17M,N/A,N/A,1.55B,1.76%,95.33%,"Take-Two Interactive Software, Inc. (TTWO)",1.03B,15.87%,0.00%,14.96%,28.85,109.12M,2.07M,115.11M,1.76,2.04%,1.80%
783.5M,-1.55,-428.2M,4.10%,-7.20%,4.14%,-13.78%,4.65B,4.15,10.41,1.65B,5.95,1.88,3.81B,131.92,617.81M,N/A,N/A,3.36B,0.24%,89.75%,"Tapestry, Inc. (TPR)",591.6M,12.01%,N/A,-9.22%,16.78,277.1M,6.97M,277.84M,1.6,3.20%,2.51%
8.74B,7.54,3.82B,42.00%,21.30%,8.21%,30.74%,88.62B,3.05,26.60,6.02B,12.01,1.05,15.02B,112.80,5.99B,2.72,1.43%,23.25B,0.21%,82.59%,Target Corporation (TGT),10B,6.99%,35.28%,4.31%,176.54,499.27M,5.21M,500.77M,1.29,1.04%,1.04%
2.57B,0.34,93M,"1,365.40%",11.20%,5.73%,0.91%,12.53B,2.00,29.78,1.1B,3.32,1.59,4.35B,43.62,1.47B,1.92,1.52%,3.73B,0.19%,94.89%,TE Connectivity Ltd. (TEL),2.22B,14.74%,678.57%,0.91%,37.84,328.01M,2.37M,331.05M,1.32,0.80%,0.72%
1.31B,-12.64,-5.66B,N/A,0.00%,2.41%,-78.32%,13.35B,N/A,9.32,4.36B,9.69,1.10,4.69B,109.75,460.04M,0.13,1.31%,2.46B,0.68%,83.64%,TechnipFMC plc (FTI),661.2M,6.30%,N/A,-42.41%,29.81,422.82M,20.17M,449.47M,2.38,4.50%,4.49%
608.87M,10.60,401.9M,14.20%,-3.00%,6.38%,13.52%,3.09B,N/A,84.96,673.1M,17.71,2.26,778.5M,24.11,N/A,N/A,N/A,1.18B,1.50%,89.31%,Teledyne Technologies Incorporated (TDY),N/A,15.95%,0.00%,13.02%,81.43,37.41M,1.74M,36.95M,3.92,5.62%,4.70%
653.75M,7.77,367.01M,-49.10%,-3.10%,4.17%,12.05%,2.51B,0.56,69.50,373.28M,8.02,2.99,2.22B,68.57,226.11M,1.36,0.33%,1.49B,0.34%,92.76%,Teleflex Incorporated (TFX),388.66M,17.14%,17.53%,14.66%,54.00,46.41M,570.6k,46.57M,2.76,1.59%,1.23%
1.03B,4.28,784.15M,57.00%,15.90%,17.55%,42.53%,3.12B,0.78,13.29,1.44B,8.65,3.45,472.76M,21.42,438.71M,0.4,0.30%,1.79B,0.27%,98.98%,"Teradyne, Inc. (TER)",868.93M,28.96%,9.35%,25.12%,18.79,165.4M,6.83M,166.06M,3.86,5.25%,4.11%
4.27B,0.64,690M,157.10%,45.50%,2.82%,5.42%,31.54B,N/A,23.15,19.38B,20.19,1.88,13.34B,56.32,3.4B,N/A,N/A,6.63B,19.99%,42.53%,"Tesla, Inc. (TSLA)",5.94B,6.19%,0.00%,2.29%,33.80,769.14M,52.38M,959.85M,1.4,6.79%,5.46%
6.86B,5.97,5.57B,57.80%,21.70%,19.82%,61.84%,14.46B,2.45,9.99,6.57B,7.14,4.28,7.12B,77.49,4.07B,4.08,2.28%,9.27B,0.23%,86.66%,Texas Instruments Incorporated (TXN),6.14B,40.97%,62.31%,38.69%,15.70,918.73M,12.05M,919.35M,2.6,1.31%,1.31%
1.01B,1.35,309M,18.60%,-9.10%,2.58%,5.44%,11.65B,0.18,25.48,2.15B,9.36,2.26,4.48B,76.65,1.22B,0.08,0.16%,751M,0.45%,86.85%,Textron Inc. (TXT),832M,5.40%,N/A,2.65%,50.88,228.23M,2.84M,228.88M,2.53,1.66%,1.24%
10.21B,15.96,6.38B,149.30%,54.50%,7.74%,19.87%,32.22B,0.30,86.92,10.33B,26.01,2.13,21.74B,62.99,5.62B,0.88,0.18%,16.51B,0.15%,91.36%,Thermo Fisher Scientific Inc. (TMO),8.29B,24.48%,5.51%,19.79%,81.36,396.08M,2.95M,396.34M,1.73,0.74%,0.74%
1.92B,0.62,749.74M,4.60%,-3.20%,2.34%,13.50%,33.4B,1.36,4.64,10.58B,8.81,1.41,15.64B,281.00,5.25B,1.04,1.51%,14.85B,0.09%,92.48%,"The TJX Companies, Inc. (TJX)",6.47B,3.13%,75.41%,2.24%,27.85,1.2B,9.83M,1.2B,1.7,0.82%,0.82%
1.29B,6.38,748.96M,-5.70%,31.30%,10.85%,42.91%,10.62B,1.32,16.51,1.34B,11.52,1.87,3.54B,184.09,902.1M,2.08,1.33%,3.76B,0.46%,92.30%,Tractor Supply Company (TSCO),1.39B,10.08%,23.51%,7.05%,91.26,115.91M,4.34M,116.5M,3.44,4.21%,3.73%
1.86B,N/A,977.2M,-17.40%,-23.40%,5.06%,14.43%,12.45B,1.83,N/A,3.29B,13.47,1.59,5.27B,82.03,1.79B,N/A,N/A,3.8B,0.42%,85.12%,Trane Technologies plc (TT),1.44B,12.56%,52.74%,6.86%,51.23,243.46M,2.13M,238.43M,1.62,0.89%,0.89%
1.89B,6.57,396M,-83.60%,-24.40%,5.50%,N/A,4.75B,N/A,-68.21,4.91B,89.73,4.53,20.48B,N/A,-1.08B,N/A,N/A,2.69B,1.28%,99.01%,TransDigm Group Incorporated (TDG),1.05B,34.05%,0.00%,9.38%,83.82,54.12M,1.99M,54.69M,7.21,4.93%,3.64%
4.37B,10.52,2.68B,50.10%,4.10%,1.97%,9.78%,31.98B,2.34,115.69,6.23B,24.69,0.39,6.55B,22.43,9.17B,3.4,2.32%,8.09B,0.29%,84.50%,"The Travelers Companies, Inc. (TRV)",6.52B,11.18%,32.03%,8.43%,126.16,251.54M,6.21M,252.21M,4.31,2.47%,2.46%
643.1M,1.55,389.9M,-35.40%,0.70%,4.12%,11.63%,3.15B,N/A,14.34,237.7M,0.95,0.98,1.66B,46.03,462.7M,N/A,N/A,1.85B,0.47%,97.65%,Trimble Inc. (TRMB),672M,14.16%,0.00%,12.39%,12.57,249.47M,2.44M,250.18M,0.64,1.09%,0.98%
N/A,N/A,4.18B,84.30%,58.50%,0.91%,6.53%,20.37B,3.10,N/A,24.48B,18.15,N/A,45.69B,N/A,N/A,1.8,3.35%,20.37B,0.26%,74.39%,Truist Financial Corporation (TFC),N/A,36.22%,58.44%,22.00%,15.12,1.34B,9.44M,1.35B,1.67,0.70%,0.70%
521.84M,-1.44,-1.14B,87.00%,28.00%,0.13%,-13.62%,3.72B,N/A,10.04,7.47B,9.41,4.42,4.48B,56.26,131.02M,N/A,N/A,2.35B,2.27%,76.36%,"Twitter, Inc. (TWTR)",992.87M,0.72%,0.00%,-30.56%,4.72,774.41M,17.69M,795.35M,0.93,2.54%,2.22%
222.62M,4.69,194.82M,15.60%,-1.90%,4.50%,10.81%,1.12B,N/A,49.16,709.15M,17.55,1.97,22.18M,1.12,287.62M,N/A,N/A,542.51M,1.32%,95.14%,"Tyler Technologies, Inc. (TYL)",355.09M,15.49%,0.00%,17.45%,27.89,39.89M,882.32k,40.33M,3.63,2.54%,2.19%
5.01B,5.86,2.14B,87.50%,5.30%,7.07%,14.42%,43.19B,1.67,42.37,1.42B,3.9,1.86,11.87B,76.09,2.51B,1.78,2.72%,5.9B,2.58%,82.45%,"Tyson Foods, Inc. (TSN)",3.87B,8.88%,28.67%,4.96%,118.97,286.25M,3.76M,294.79M,1.74,1.46%,1.03%
774.69M,0.20,60.04M,-72.80%,-0.50%,0.98%,1.62%,1.26B,3.26,10.75,1.41M,0,0.60,5.17B,125.69,N/A,1.44,3.32%,842.08M,1.00%,99.35%,"UDR, Inc. (UDR)",N/A,11.97%,711.25%,5.10%,4.28,293.77M,5.4M,296.61M,3.33,3.36%,1.84%
686.08M,4.01,227.06M,-42.40%,-7.80%,4.90%,12.27%,6.26B,N/A,32.92,560.9M,9.96,1.83,1.91B,103.21,543.33M,N/A,N/A,3B,4.37%,90.72%,"Ulta Beauty, Inc. (ULTA)",802.83M,6.14%,0.00%,3.63%,110.75,54.11M,2.37M,56.34M,3.37,4.95%,4.20%
N/A,3.06,4.62B,2.20%,2.30%,0.95%,9.39%,19.42B,2.77,31.26,62.58B,41.53,N/A,53.06B,N/A,N/A,1.68,3.56%,19.42B,0.09%,75.21%,U.S. Bancorp (USB),N/A,32.06%,54.90%,25.53%,12.87,1.5B,15.95M,1.51B,2.02,1.06%,1.06%
165.52M,-1.21,-549.18M,N/A,-2.60%,0.01%,-28.71%,4.47B,N/A,3.68,1.52B,3.34,2.28,2.01B,119.66,248.69M,N/A,N/A,2.17B,0.43%,91.69%,"Under Armour, Inc. (UAA)",212.86M,0.01%,0.00%,-12.27%,9.85,350.24M,14.24M,188.53M,2.71,8.79%,3.13%
165.52M,-1.21,-549.18M,N/A,-2.60%,0.01%,-28.71%,4.47B,N/A,3.68,1.52B,3.34,2.28,2.01B,119.66,248.69M,N/A,N/A,2.17B,16.04%,72.51%,"Under Armour, Inc. (UA)",212.86M,0.01%,0.00%,-12.27%,9.85,350.24M,26.62M,231.68M,7.27,N/A,5.85%
10.09B,7.88,5.35B,-1.60%,-1.40%,7.94%,30.49%,19.53B,2.13,25.26,1.86B,2.78,1.01,28.33B,167.08,3.83B,3.88,1.87%,11.43B,0.16%,80.94%,Union Pacific Corporation (UNP),8.54B,40.33%,49.24%,27.38%,28.84,668.47M,5.38M,673.87M,1.8,0.80%,0.80%
-6.49B,-25.30,-7.07B,N/A,-68.70%,-10.00%,-80.83%,15.35B,N/A,19.11,11.68B,37.46,1.16,33.89B,568.64,-8.15B,N/A,N/A,-2.54B,0.23%,62.12%,"United Airlines Holdings, Inc. (UAL)",-4.09B,-58.45%,0.00%,-46.04%,54.96,311.05M,16.37M,311.84M,1.16,5.98%,5.25%
25.3B,16.03,15.4B,-37.50%,7.50%,7.55%,23.77%,257.14B,1.44,71.10,19.78B,20.58,0.74,43.47B,61.62,16.75B,5,1.50%,67B,0.58%,89.32%,UnitedHealth Group Incorporated (UNH),22.17B,8.71%,30.13%,5.99%,267.58,955.44M,6.54M,948.82M,2.08,0.69%,0.69%
5.68B,1.64,1.43B,N/A,21.00%,3.10%,70.71%,84.63B,3.08,0.86,6.32B,7.3,1.19,27.75B,"3,685.79",-735.88M,4.04,2.49%,32.77B,0.01%,69.48%,"United Parcel Service, Inc. (UPS)",10.46B,3.53%,246.34%,1.69%,97.61,715.39M,7.03M,718M,1.86,0.98%,0.81%
2.28B,12.20,890M,-12.10%,-7.20%,6.43%,21.25%,8.53B,N/A,62.95,202M,2.8,1.07,10.41B,229.02,2.58B,N/A,N/A,3.23B,0.43%,100.80%,"United Rentals, Inc. (URI)",2.66B,22.23%,0.00%,10.43%,117.40,71.97M,3.63M,72.2M,4.74,5.71%,5.02%
1.89B,10.20,877.82M,148.30%,3.20%,7.04%,15.52%,11.37B,0.37,70.17,1.1B,12.96,1.12,3.94B,65.25,1.65B,N/A,N/A,4.54B,2.90%,96.26%,"Universal Health Services, Inc. (UHS)",2.55B,12.17%,3.93%,7.74%,132.69,75.31M,1.32M,77.72M,2.26,1.97%,1.55%
1.27B,3.89,793M,-54.30%,40.80%,1.05%,7.61%,13.16B,3.17,53.37,1.67B,8.18,41.62,3.45B,31.75,N/A,1.14,4.70%,3.1B,0.75%,91.47%,Unum Group (UNM),N/A,8.75%,29.31%,6.02%,64.63,202.68M,5.67M,203.69M,2.45,3.19%,2.78%
776.33M,-3.50,-1.42B,N/A,-37.20%,N/A,-5.20%,64.91B,4.33,47.14,4.05B,9.92,N/A,16.42B,82.02,N/A,3.92,6.07%,1.27B,0.34%,79.34%,Valero Energy Corporation (VLO),N/A,-2.39%,N/A,-2.19%,159.49,406.13M,9.26M,407.79M,2.53,2.28%,2.27%
524.5M,3.03,277.5M,9.40%,-6.00%,5.92%,13.51%,3.12B,N/A,24.38,773.3M,8.42,1.51,350.5M,15.59,410.8M,N/A,N/A,1.38B,0.33%,91.72%,"Varian Medical Systems, Inc. (VAR)",512.9M,13.63%,0.00%,8.90%,34.26,91.51M,3.02M,91.84M,3.97,4.22%,3.29%
1.58B,0.91,340.14M,-85.00%,-6.50%,1.60%,3.17%,3.86B,5.38,27.27,588.34M,1.57,0.73,12.3B,116.69,1.32B,1.8,3.55%,2.05B,0.43%,96.32%,"Ventas, Inc. (VTR)",1.51B,16.26%,273.08%,8.82%,10.34,373.12M,7.83M,374.57M,3.79,2.73%,2.09%
864.72M,6.93,805.9M,11.10%,3.10%,28.01%,N/A,1.26B,N/A,-12.13,1.15B,10.08,1.23,1.79B,N/A,538.65M,N/A,N/A,1.05B,1.30%,92.90%,"VeriSign, Inc. (VRSN)",728.56M,65.18%,0.00%,64.20%,10.83,106.1M,1.44M,114.11M,2.38,1.64%,1.26%
1.23B,4.03,668.7M,464.70%,7.70%,9.04%,29.82%,2.75B,N/A,14.88,225.5M,1.39,0.56,3.44B,142.02,640.17M,1.08,0.57%,1.63B,1.04%,92.54%,"Verisk Analytics, Inc. (VRSK)",995.6M,35.54%,26.30%,24.33%,16.88,161.02M,1.33M,162.59M,1.9,0.93%,0.82%
45.52B,4.30,17.8B,-10.00%,-0.20%,5.92%,27.78%,128.29B,4.41,16.40,22.17B,5.36,1.38,150.55B,217.33,13.66B,2.51,4.60%,77.09B,0.03%,66.32%,Verizon Communications Inc. (VZ),41.77B,22.45%,57.79%,13.88%,30.99,4.14B,41.84M,4.14B,2.01,1.01%,1.01%
2.99B,10.29,2.71B,3.60%,15.20%,17.94%,36.71%,6.21B,N/A,33.42,6.66B,25.62,5.02,581.48M,6.69,N/A,N/A,N/A,3.65B,0.09%,95.68%,Vertex Pharmaceuticals Incorporated (VRTX),N/A,46.41%,0.00%,43.70%,23.88,259.51M,3.47M,260.04M,2.03,1.34%,1.34%
899.45M,-0.43,-189.92M,-25.30%,-5.80%,3.22%,-4.93%,8.76B,2.48,8.03,3.85B,9.84,2.92,7.3B,232.59,1.03B,1.96,2.44%,5.82B,7.40%,80.27%,V.F. Corporation (VFC),1.17B,7.22%,N/A,-1.89%,22.47,362.46M,6M,391.71M,2.33,1.71%,1.53%
4.44B,N/A,1.32B,-2.40%,-8.70%,6.65%,15.51%,25.93B,1.77,N/A,3.09B,5,1.70,21.49B,139.18,14.67B,0.96,1.68%,10.59B,4.15%,91.45%,ViacomCBS Inc. (VIAC),2.11B,15.57%,44.65%,5.22%,42.16,550.9M,88.16M,564.98M,5.09,16.25%,14.28%
3.51B,N/A,266.4M,-2.20%,0.40%,3.63%,2.22%,11.51B,N/A,N/A,744.5M,1.44,1.01,12.51B,99.70,1.86B,N/A,N/A,4.55B,0.44%,40.35%,Viatris Inc. (VTRS),1.88B,15.72%,0.00%,2.31%,22.28,515.95M,31.83M,1.22B,2.77,2.89%,2.62%
14.74B,4.84,10.36B,-4.50%,-6.10%,11.24%,29.39%,21.48B,0.62,15.90,18.04B,8.44,2.12,21.06B,55.88,8.19B,1.28,0.61%,21.12B,0.11%,96.02%,Visa Inc. (V),10.08B,64.97%,25.15%,49.91%,10.07,1.55B,27.14M,1.7B,2.72,1.60%,1.27%
625.8M,N/A,331.4M,16.50%,4.50%,12.43%,20.23%,2.63B,N/A,N/A,N/A,N/A,1.07,53.5M,3.37,582.8M,N/A,N/A,1.19B,19.91%,28.67%,Vontier Corporation (VNT),703.5M,20.67%,0.00%,12.59%,15.64,168.37M,4.4M,168.5M,1.16,3.26%,2.61%
688.45M,0.28,53.44M,-80.40%,-20.70%,1.12%,-1.15%,1.69B,4.00,29.16,1.41B,7.38,5.68,8.01B,105.63,664.72M,2.12,5.42%,1.08B,8.22%,84.61%,Vornado Realty Trust (VNO),455.93M,18.92%,920.36%,6.12%,8.87,168.24M,16.33M,191.26M,6.16,11.12%,8.54%
1.28B,4.58,614.68M,-7.40%,-7.70%,5.09%,10.72%,4.87B,0.84,44.76,1.08B,8.18,2.12,3.73B,62.92,627.88M,1.36,0.85%,1.26B,0.18%,92.07%,Vulcan Materials Company (VMC),1.12B,18.52%,28.85%,12.55%,36.73,132.19M,1.09M,132.51M,1.36,0.93%,0.82%
992.4M,2.81,530.67M,161.60%,17.00%,N/A,8.77%,8.1B,0.75,33.64,3.17B,17.81,N/A,3.28B,54.38,N/A,0.48,0.70%,3.25B,23.92%,73.47%,W. R. Berkley Corporation (WRB),N/A,10.67%,16.73%,6.55%,43.33,140.09M,1.65M,177.82M,1.76,1.15%,0.93%
1.2B,2.41,460.7M,40.60%,-6.80%,2.87%,4.68%,7.9B,0.58,52.64,559.3M,2.94,1.22,4.51B,44.87,741.43M,0.48,0.58%,2.5B,5.34%,96.48%,Westinghouse Air Brake Technologies Corporation (WAB),905.9M,10.83%,19.67%,5.85%,41.44,180.68M,3.61M,190.33M,3.17,2.24%,1.89%
38.02B,6.93,19.74B,56.20%,5.20%,6.72%,24.13%,548.74B,2.23,28.76,14.33B,5.06,0.83,69.2B,79.08,26.78B,2.16,1.50%,129.36B,51.07%,30.35%,Walmart Inc. (WMT),33.6B,4.81%,31.02%,3.60%,193.71,1.43B,15.04M,2.83B,1.97,1.08%,0.53%
4.49B,-0.80,-697M,N/A,5.70%,2.00%,-3.18%,141.51B,2.74,23.22,1.11B,1.29,0.69,41.88B,201.90,2.63B,1.87,3.62%,28.02B,17.25%,58.84%,"Walgreens Boots Alliance, Inc. (WBA)",5.62B,2.03%,N/A,-0.49%,162.11,715.53M,15.27M,864.04M,1.88,2.13%,1.77%
9.71B,-1.59,-2.83B,N/A,-23.10%,1.38%,-2.44%,65.39B,1.38,46.18,17.91B,9.9,1.32,62.32B,63.91,6.23B,N/A,N/A,21.51B,0.20%,65.57%,The Walt Disney Company (DIS),7.62B,6.67%,N/A,-4.38%,36.17,1.81B,18.44M,1.81B,1.94,1.02%,1.02%
4.18B,3.54,1.5B,-21.20%,-2.70%,6.14%,21.59%,15B,2.08,16.93,703M,1.66,1.20,10.42B,145.62,1.43B,2.3,2.03%,5.97B,0.15%,79.22%,"Waste Management, Inc. (WM)",3.67B,17.00%,60.66%,10.03%,35.41,421.77M,3.36M,422.61M,1.96,0.80%,0.80%
823.93M,8.36,521.57M,8.80%,9.80%,15.95%,"6,575.94%",2.37B,N/A,3.73,443.15M,7.13,N/A,1.36B,584.34,N/A,N/A,N/A,1.36B,0.57%,92.36%,Waters Corporation (WAT),790.51M,29.11%,0.00%,22.05%,38.09,61.82M,1.39M,62.05M,4.12,2.56%,2.24%
2.68B,3.79,1.2B,-2.00%,-0.70%,2.96%,11.48%,7.24B,2.96,33.19,24.8M,0.08,0.50,14.29B,134.03,-574.1M,2.71,3.23%,2.89B,0.17%,74.57%,"WEC Energy Group, Inc. (WEC)",2.2B,23.56%,66.75%,16.57%,22.96,314.72M,3.89M,315.44M,2.92,1.42%,1.23%
N/A,0.41,1.71B,4.10%,-6.20%,0.19%,1.92%,58.21B,3.76,39.73,431.23B,104.06,N/A,288.46B,N/A,N/A,0.4,1.22%,58.21B,0.12%,69.48%,Wells Fargo & Company (WFC),N/A,3.57%,297.56%,5.67%,14.14,4.14B,48.05M,4.14B,1.23,1.16%,1.16%
1.87B,2.33,978.84M,-27.00%,-11.20%,1.55%,6.07%,4.61B,5.04,38.27,1.55B,3.7,6.66,14.34B,83.22,2.14B,2.44,3.67%,1.98B,0.17%,92.94%,Welltower Inc. (WELL),1.36B,17.73%,108.43%,21.25%,11.09,416.66M,5.55M,417.38M,2.64,1.73%,1.33%
476M,4.13,311.7M,46.20%,20.10%,9.70%,19.44%,2.04B,0.49,23.26,519.4M,7.03,2.77,329.5M,19.17,207.06M,0.66,0.23%,605.7M,0.58%,94.54%,"West Pharmaceutical Services, Inc. (WST)",430.2M,18.12%,15.50%,15.30%,27.53,73.46M,699.14k,73.93M,1.6,1.21%,0.95%
2.08B,0.55,167M,N/A,-6.90%,1.48%,1.74%,16.33B,3.42,32.12,2.96B,9.66,2.01,9.5B,96.61,373.62M,N/A,N/A,3.78B,0.52%,79.41%,Western Digital Corporation (WDC),1.1B,3.72%,87.72%,1.02%,54.15,304.99M,6.74M,306.1M,1.13,2.51%,2.21%
1.23B,1.79,744.3M,30.80%,-2.70%,6.88%,"1,011.96%",4.83B,3.61,0.45,1.43B,3.47,0.27,3.07B,"1,643.73",1.2B,0.94,3.99%,2.01B,0.48%,107.84%,The Western Union Company (WU),877.5M,20.77%,50.28%,15.39%,11.73,408.94M,30.45M,411.2M,6.41,10.21%,7.41%
2.73B,-2.61,-677.5M,9.70%,-0.50%,2.71%,-5.90%,17.56B,3.76,41.64,253.8M,0.96,1.60,9.71B,88.41,1.55B,0.8,1.86%,3.2B,1.34%,83.76%,WestRock Company (WRK),2.36B,7.37%,N/A,-3.86%,67.44,259.62M,2.87M,263.52M,1.47,1.41%,1.09%
1.96B,1.07,797M,N/A,33.30%,5.67%,9.43%,7.53B,4.23,11.68,495M,0.66,1.69,5.47B,62.71,1.09B,0.68,1.99%,2.08B,0.19%,82.18%,Weyerhaeuser Company (WY),1.53B,19.70%,47.66%,10.58%,10.08,745.49M,9.21M,746.42M,2.15,1.45%,1.23%
